course_name,degree,duration,field,min_gpa,min_ielts,ielts_waiver,fee,accepted_gap,cas_deposit,cas_deposit_amount,scholarship_upto,course_description,intakes
Accounting & Finance BSc (Hons),BSc (Hons),Not specified,Accounting & Finance,60%,6.0 / (5.5),B,18000 - 21000,Up to 5 years,Yes,6000,6000,Not specified,September
Banking & Finance BSc (Hons),BSc (Hons),Not specified,Banking & Finance,60%,6.0 / (5.5),B,18000 - 21000,Up to 5 years,Yes,6000,6000,Not specified,September
BSc Economics & Finance,BSc,Not specified,Economics & Finance,60%,6.0 / (5.5),B,18000 - 21000,Up to 5 years,Yes,6000,6000,Not specified,September
Psychology BSc (Hons),BSc (Hons),Not specified,Psychology,60%,6.0 / (5.5),B,18000 - 21000,Up to 5 years,Yes,6000,6000,Not specified,September
BSc Economics,BSc,Not specified,Economics,60%,6.0 / (5.5),B,18000 - 21000,Up to 5 years,Yes,6000,6000,Not specified,September
BSC Pharmacology (Hons),BSc (Hons),Not specified,Pharmacology,60%,6.0 / (5.5),B,18000 - 21000,Up to 5 years,Yes,6000,6000,Not specified,September
BA (Hons) Health & Social Care,BA (Hons),Not specified,Health & Social Care,60%,6.0 / (5.5),B,18000 - 21000,Up to 5 years,Yes,6000,6000,Not specified,September
BSc Tourism Management (Hons),BSc (Hons),Not specified,Tourism Management,60%,6.0 / (5.5),B,18000 - 21000,Up to 5 years,Yes,6000,6000,Not specified,September
BSc Accounting & Management,BSc,Not specified,Accounting & Management,60%,6.0 / (5.5),B,18000 - 21000,Up to 5 years,Yes,6000,6000,Not specified,September
BSc (Hons) Business Enterprise & Enterpreneurship,BSc (Hons),Not specified,Business Enterprise & Entrepreneurship,60%,6.0 / (5.5),B,18000 - 21000,Up to 5 years,Yes,6000,6000,Not specified,September
MBA,MBA,Not specified,Business Administration,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
LLM,LLM,Not specified,Law,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
MA Business & Marketing,MA,Not specified,Business & Marketing,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
MSc Accounting & Banking,MSc,Not specified,Accounting & Banking,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
MSc / MBA Banking & Finance,MSc / MBA,Not specified,Banking & Finance,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
MSC Business Data Analytics,MSc,Not specified,Business Data Analytics,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
MSc Banking (Chartered Banker),MSc,Not specified,Banking,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
MSc International Business,MSc,Not specified,International Business,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
MSc Artificial Intelligence & Data Science,MSc,Not specified,Artificial Intelligence & Data Science,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
MSc Public Health & Health Promotion,MSc,Not specified,Public Health & Health Promotion,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
MA Criminology & Law,MA,Not specified,Criminology & Law,"4-year Degree - 50%, 3-year Degree - 65%",6.0 / (5.5),B,18000 - 20500,Up to 5 years,Yes,6000,6000,Not specified,September
